年,月,總運量
107,1,275360
107,2,413815
107,3,209783
107,4,283651
107,5,206325
107,6,213372
107,7,323385
107,8,296078
107,9,218813
107,10,229454
107,11,260255
107,12,436179
108,1,310193
108,2,431570
108,3,275955
108,4,264712
108,5,235935
108,6,247325
108,7,298947
108,8,263550
108,9,215037
108,10,253939
108,11,237975
108,12,305358
109,1,322245
109,2,159742
109,3,89264
109,4,68436
109,5,95998
109,6,169670
109,7,250342
109,8,272692
109,9,173801
109,10,249700
109,11,207234
109,12,264230
110,1,398956
110,2,593532
110,3,263930
110,4,284300
110,5,133023
110,6,29707
110,7,64998
110,8,141994
110,9,187379
110,10,327293
110,11,292985
110,12,535786
111,1,326766
111,2,558676
111,3,299982
111,4,244954
111,5,168790
111,6,185593
111,7,380402
111,8,580587
111,9,371177
111,10,679577
111,11,540322
